symbol,short_name
CCL,CCL PRODUCTS(IND)
CAMPUS,Campus Activewear Limited
VIPIND,VIP INDUSTRIES
MAHSCOOTER,MAHARASHTRA SCOOT
VARROC,VARROC ENGINEERING
SURYAROSNI,SURYA ROSHNI
MAHLIFE,MAHINDRA LIFESPACE
GAEL,GUJARAT AMBUJA EXP
RELINFRA,RELIANCE INFRASTRU
BALRAMCHIN,BALRAMPUR CHINI MI
IONEXCHANG,Ion Exchange (India) Ltd
KFINTECH,Kfin Technologies Limited
HOMEFIRST,Home First Fin Co Ind Ltd
PGHL,PROCTER & GAMBLE HEALTH L
PRINCEPIPE,Prince Pipes Fittings Ltd
RESPONIND,RESPONSIVE INDUSTR
PTCIL,PTC Industries Limited
KTKBANK,KARNATAKA BANK
JUBLINGREA,Jubilant Ingrevia Limited
GLS,Glenmark Life Science Ltd
MANINFRA,MAN INFRACONSTRUCT
SPANDANA,Spandana Sphoorty Fin Ltd
INDIACEM,INDIA CEMENTS
ACI,Archean Chemical Ind Ltd
INOXINDIA,INOX India Limited
LXCHEM,Laxmi Organic Indus Ltd
TMB,Tamilnad Merca Bank Ltd
CHEMPLASTS,Chemplast Sanmar Limited
ALLCARGO,ALLCARGO LOGISTICS
EMIL,Electronics Mart Ind Ltd
SANDUMA,Sandur Mang & Iron Ores L
MIDHANI,MISHRA DHATU NIGAM
QUESS,QUESS CORP LTD
TEGA,Tega Industries Limited
MHRIL,MAHINDRA HOLIDAYS
SHOPERSTOP,SHOPPERS STOP
DOMS,DOMS Industries Limited
SCI,SHIPPING CP INDIA
GRAVITA,GRAVITA INDIA LTD
TRIVENI,TRIVENI ENGINEERIN
GPPL,GUJARAT PIPAVAV PO
HEG,HEG LIMITED
EDELWEISS,EDELWEISS FIN SERV
DBREALTY,DB REALTY LTD
MARKSANS,MARKSANS PHARMA LT
RUSTOMJEE,Keystone Realtors Limited
VESUVIUS,VESUVIUS INDIA
STARCEMENT,STAR CEMENT LTD
PDSL,PDS LIMITED
CSBBANK,CSB Bank Limited
IFCI,IFCI LTD
GMMPFAUDLR,GMM PFAUDLER LTD
ISGEC,Isgec Heavy Eng Ltd
KNRCON,KNR CONSTRUCTIONS
EASEMYTRIP,Easy Trip Planners Ltd
SAREGAMA,SAREGAMA INDIA LTD
JLHL,Jupiter Life Line Hosp L
INDIGOPNTS,Indigo Paints Limited
LTFOODS,LT FOODS LIMITED
KIRLOSBROS,KIRLOSKAR BROTHERS
RELIGARE,RELIGARE ENTERPRIS
JAICORPLTD,JAI CORP LTD
VIJAYA,Vijaya Diagnostic Cen Ltd
JKPAPER,JK PAPER LTD
UJJIVAN,UJJIVAN FIN SERV
ROLEXRINGS,Rolex Rings Limited
GARFIBRES,GARWARE TECHNICAL
ARVIND,ARVIND LTD
JUSTDIAL,JUST DIAL LTD
GREENLAM,GREENLAM INDUSTRIE
VRLLOG,VRL LOGISTICS LTD
MTARTECH,MTAR Technologies Limited
NEULANDLAB,NEULAND LABORITIE
POWERMECH,POWER MECH PROJECT
GOCOLORS,Go Fashion India Ltd
ZENTEC,ZEN TECHNOLOGIES
NETWEB,Netweb Tech India Ltd
SIS,SIS LTD
VOLTAMP,VOLTAMP TRANSFORME
ELECTCAST,ELECTROSTEEL CAST
BECTORFOOD,Mrs Bectors Food Spe Ltd
VAIBHAVGBL,VAIBHAV GLOBAL LTD
TEXRAIL,TEXMACO RAIL & ENG
SUNTECK,SUNTECK REALTY LTD
RSYSTEMS,R SYSTEMS INTERNAT
REDTAPE,Redtape Limited
IWEL,Inox Wind Energy Limited
FDC,FDC LTD
EPL,EPL LIMITED
SHRIPISTON,SHRIRAM PISTONS &
TCI,TRANSPORT CORP OF
THOMASCOOK,THOMAS COOK
BLUEJET,Blue Jet Healthcare Ltd
NAVA,NAVA LIMITED
HNDFDS,Hindustan Foods Limited
MOIL,MOIL LTD
NESCO,NESCO LTD
PGEL,PG ELECTROPLAST LT
SYMPHONY,SYMPHONY LTD
WOCKPHARMA,WOCKHARDT
ICIL,INDO COUNT INDUSTR
SHAREINDIA,Share Ind. Securities Ltd
INDIASHLTR,India Shelter Fin Corp L
JINDWORLD,JINDAL WORLDWIDE
TATACOFFEE,TATA COFFEE
CMSINFO,CMS Info Systems Limited
GENUSPOWER,GENUS POWER INFRA
INFIBEAM,INFIBEAM AVENUES L
STAR,STRIDES PHARMA SCI
NIITMTS,NIIT Learning Systems Ltd
UTKARSHBNK,Utkarsh Small Fin Bank L
TIIL,TECHNOCRAFT INDUST
FUSION,Fusion Micro Finance Ltd
BORORENEW,BOROSIL RENEWABLES LTD
ASKAUTOLTD,ASK Automotive Limited
ASTRAMICRO,ASTRA MICROWAVE PR
AVANTIFEED,AVANTI FEEDS
JSWHL,JSW HOLDINGS LIMIT
GUJALKALI,GUJARAT ALKALIES
STLTECH,STERLITE TECHNOLOGIES LTD
NAZARA,Nazara Technologies Ltd
GABRIEL,GABRIEL INDIA
SUPRAJIT,SUPRAJIT ENG LTD
PTC,PTC INDIA LTD
DBL,DILIP BUILDCON LTD
SOUTHBANK,SOUTH INDIA BANK
GHCL,GHCL
RBA,RESTAURANT BRAND ASIA LTD
PARADEEP,Paradeep Phosphates Ltd
HGINFRA,H.G. INFRA ENGINEE
ICRA,ICRA LTD
RAMKY,RAMKY INFRASTRUCTU
KESORAMIND,KESORAM INDUSTRIES
SANSERA,Sansera Engineering Ltd
ARVINDFASN,ARVIND FASHIONS LT
SENCO,Senco Gold Limited
AURIONPRO,AURIONPRO SOLUTION
TEAMLEASE,TEAMLEASE SERVICES
CYIENTDLM,Cyient DLM Limited
AGI,AGI GREENPAC LIMITED
KPIGREEN,KPI GREEN ENERGY LIMITED
HEIDELBERG,HEIDELBERGCEMENT I
TCIEXP,TCI EXPRESS LTD
VSTIND,VST INDUSTRIES
GREENPANEL,Greenpanel Industries Ltd
DODLA,Dodla Dairy Limited
AHLUCONT,AHLUWALIA CONT LTD
RAIN,RAIN INDUSTRIES LT
GATEWAY,Gateway Distriparks Ltd
ORIENTCEM,ORIENT CEMENT LTD
ETHOSLTD,Ethos Limited
HCG,HEALTHCARE GLOBAL
FEDFINA,Fedbank Financial Ser L
GOKEX,GOKALDAS EXPORTS L
PRUDENT,Prudent Corp Adv Ser Ltd
ITDCEM,ITD CEMENTATION IN
BBOX,BLACK BOX LIMITED
JPASSOCIAT,JAIPRAKASH ASSOCIA
RALLIS,RALLIS INDIA LTD
ORIENTELEC,ORIENT ELECTRIC LT
RTNPOWER,RATTANINDIA POWER
DHANUKA,DHANUKA AGRITECH
WSTCSTPAPR,WEST COAST PAPER M
WONDERLA,WONDERLA HOLIDAYS
DBCORP,D B CORP LTD
MASFIN,MAS FINANCIAL SERV
LLOYDSENGG,LLOYDS ENGG WORK LIMITED
IBREALEST,INDIABULLS REAL ES
KKCL,KEWEL KIRAN CLOTHI
MSTCLTD,MSTC LIMITED
TINPLATE,TINPLATE CO INDIA
PATELENG,PATEL ENGINEERING
TI,TILAKNAGAR INDUSTR
PRICOLLTD,PRICOL LTD
SHANTIGEAR,SHANTHI GEARS
HGS,HINDUJA GLOBAL SOL
PRIVISCL,PRIVI SPECIALITY CHE LTD
CHOICEIN,Choice International Ltd
AARTIPHARM,Aarti Pharmalabs Limited
BANCOINDIA,BANCO PRODUCTS
MAXESTATES,Max Estates Limited
NOCIL,NOCIL LTD
JAYNECOIND,JAYASWAL NECO IND
WELENT,WELSPUN ENTERPRISE
AARTIDRUGS,AARTI DRUGS LTD
IIFLSEC,IIFL SECURITIES
NFL,NATIONAL FERTI.LTD
JAMNAAUTO,JAMNA AUTO IND
PURVA,PURAVANKARA LTD
ROSSARI,Rossari Biotech Limited
TIPSINDLTD,TIPS INDUSTRIES
JKIL,J KUMAR INFAPROJEC
HEMIPROP,Hemisphere Prop Ind Ltd
GALLANTT,GALLANTT ISPAT LTD
HCC,HINDUSTAN CONSTRUC
MUTHOOTMF,Muthoot Microfin Limited
DATAMATICS,DATAMATICS GLOBAL
ORISSAMINE,ORISSA MINERALS DE
JISLJALEQS,JAIN IRRIGATION
KALAMANDIR,Sai Silks (Kalamandir) L
SULA,Sula Vineyards Limited
HMAAGRO,HMA Agro Industries Ltd
ADVENZYMES,ADVANCED ENZYME TE
IPL,India Pesticides Limited
SINDHUTRAD,Sindhu Trade Links Ltd
DCBBANK,DCB BANK LIMITED
PAISALO,PAISALO DIGITAL LT
AMIORG,Ami Organics Limited
LAOPALA,LA-OPALA RG LTD
THANGAMAYL,THANGAMAYIL JEWELL
AZAD,Azad Engineering Limited
SHARDACROP,SHARDA CROPCHEM
